author,published_at,like_count,text,public,video_id,text_clean,text_normalized,text_final,label
@ikahsantikah5786,2026-05-09T09:36:49Z,0,Mbg pentas nya buat makan kucing 😂,True,lmcwEO9Lqe8,mbg pentas nya buat makan kucing,makan bergizi gratis pentas nya buat makan kucing,makan bergizi gratis pentas makan kucing,Netral
@ayodhiaanto8215,2026-05-09T00:37:30Z,0,"300 trilyun lebih yg sampai ke masyarakat tdk lebih dr 30%.
Mending kasih rakyat org tua murid & org miskin. Insya Allah bermanfaat dan berdampak pd ekonomi kerakyatan... 
Iya ngga seh...?",True,lmcwEO9Lqe8,trilyun lebih yg sampai ke masyarakat tdk lebih dr mending kasih rakyat org tua murid org miskin insya allah bermanfaat dan berdampak pd ekonomi kerakyatan iya ngga seh,trilyun lebih yang sampai ke masyarakat tidak lebih dari mending kasih rakyat org tua murid org miskin insya allah bermanfaat dan berdampak pada ekonomi kerakyatan iya tidak seh,trilyun masyarakat mending kasih rakyat org tua murid org miskin insya allah bermanfaat berdampak ekonomi kerakyatan iya seh,Positif
@faizandries2897,2026-05-08T04:05:10Z,0,Program menghamburkan uang rakyat 😭😭😭,True,lmcwEO9Lqe8,program menghamburkan uang rakyat,program menghamburkan uang rakyat,program menghamburkan uang rakyat,Netral
@CikoJuli-j9g,2026-05-07T02:51:56Z,0,MBG adalah progam konyol,True,lmcwEO9Lqe8,mbg adalah progam konyol,makan bergizi gratis adalah progam konyol,makan bergizi gratis progam konyol,Netral
@CikoJuli-j9g,2026-05-07T02:51:04Z,0,Dana trilyunan cuma jadi tinja,True,lmcwEO9Lqe8,dana trilyunan cuma jadi tinja,dana trilyunan cuma jadi tinja,dana trilyunan tinja,Tidak Berlabel
@CikoJuli-j9g,2026-05-07T02:49:57Z,0,Kalau saya MBG gak ada manfaatnya tmpat ladang korupsi,True,lmcwEO9Lqe8,kalau saya mbg gak ada manfaatnya tmpat ladang korupsi,kalau saya makan bergizi gratis tidak ada manfaatnya tmpat ladang korupsi,makan bergizi gratis manfaatnya tmpat ladang korupsi,Negatif
@mustofaenalachjri6633,2026-05-06T00:55:23Z,0,Anaknya makan gratis di skolah. Di rumah ibunya pusing belanja ke pasar harga naik untuk bikin masakan di rumah,True,lmcwEO9Lqe8,anaknya makan gratis di skolah di rumah ibunya pusing belanja ke pasar harga naik untuk bikin masakan di rumah,anaknya makan gratis di skolah di rumah ibunya pusing belanja ke pasar harga naik untuk bikin masakan di rumah,anaknya makan gratis skolah rumah ibunya pusing belanja pasar harga bikin masakan rumah,Tidak Berlabel
@gemuruhchannel9524,2026-05-05T07:09:41Z,0,MBG bikin lembaga sekolah kyak barak barak militer yg menyediakan makanan untuk tentara dlm Susana perang,True,lmcwEO9Lqe8,mbg bikin lembaga sekolah kyak barak barak militer yg menyediakan makanan untuk tentara dlm susana perang,makan bergizi gratis bikin lembaga sekolah kyak barak barak militer yang menyediakan makanan untuk tentara dlm susana perang,makan bergizi gratis bikin lembaga sekolah kyak barak barak militer menyediakan makanan tentara dlm susana perang,Netral
@CahyaSaputra-c7t,2026-05-03T01:03:26Z,0,Kalau mau menutup Mbg harus sama presidenya baru bisa tutup MBG,True,lmcwEO9Lqe8,kalau mau menutup mbg harus sama presidenya baru bisa tutup mbg,kalau mau menutup makan bergizi gratis harus sama presidenya baru bisa tutup makan bergizi gratis,menutup makan bergizi gratis presidenya tutup makan bergizi gratis,Netral
@IanIkhsan-fv2qj,2026-04-29T12:40:13Z,0,Program mbg hanya untuk memperkenyang perut para elit koruptor ttup aja mbg abisin anggaran pajak rakyat,True,lmcwEO9Lqe8,program mbg hanya untuk memperkenyang perut para elit koruptor ttup aja mbg abisin anggaran pajak rakyat,program makan bergizi gratis hanya untuk memperkenyang perut para elit koruptor ttup saja makan bergizi gratis abisin anggaran pajak rakyat,program makan bergizi gratis memperkenyang perut elit koruptor ttup makan bergizi gratis abisin anggaran pajak rakyat,Netral
@suwardi3248,2026-04-29T00:47:05Z,0,MBG ltu program untuk mengamankan kursi 2029.,True,lmcwEO9Lqe8,mbg ltu program untuk mengamankan kursi,makan bergizi gratis ltu program untuk mengamankan kursi,makan bergizi gratis ltu program mengamankan kursi,Netral
@etrymatutu6635,2026-04-28T13:20:55Z,0,Makan gratis terus saja sampai ko suksesss nak😅,True,lmcwEO9Lqe8,makan gratis terus saja sampai ko suksesss nak,makan gratis terus saja sampai ko suksesss nak,makan gratis ko suksesss nak,Positif
@fahmiarofi4237,2026-04-25T01:43:46Z,0,apane menguntungkan petani dan peternak. Orang mayoritas malah impor dari luar. Atau bahan baku dari korporasi2 pabrik raksasa tertentu,True,lmcwEO9Lqe8,apane menguntungkan petani dan peternak orang mayoritas malah impor dari luar atau bahan baku dari korporasi pabrik raksasa tertentu,apane menguntungkan petani dan peternak orang mayoritas malah impor dari luar atau bahan baku dari korporasi pabrik raksasa tertentu,apane menguntungkan petani peternak mayoritas impor bahan baku korporasi pabrik raksasa,Tidak Berlabel
@Athaya931,2026-04-24T22:18:14Z,0,"Bubarkan MBG...
bubarkan MBG
Bubarkan MBG...",True,lmcwEO9Lqe8,bubarkan mbg bubarkan mbg bubarkan mbg,bubarkan makan bergizi gratis bubarkan makan bergizi gratis bubarkan makan bergizi gratis,bubarkan makan bergizi gratis bubarkan makan bergizi gratis bubarkan makan bergizi gratis,Netral
@Athaya931,2026-04-23T15:59:15Z,0,"Rakyat itu dah tahu bahwa program MBG itu membawa hal negatip dan negatip...
Dan TDK menguntungkan rakyat..
Malah menjadi beban rakyat.
itupun yg di untungkan orang kaya dan pejabat aja..
Lihat aja dan semakin secara detail...
Yang kaya semakin kaya..
Dan itupun akan membawa dampak hancurnya ekonomi Indonesia...
Hampir 85% rakyat menolak adanya MBG..
Karena bikin susah dan resah kepada rakyat..
Bubarkan MBG..",True,lmcwEO9Lqe8,rakyat itu dah tahu bahwa program mbg itu membawa hal negatip dan negatip dan tdk menguntungkan rakyat malah menjadi beban rakyat itupun yg di untungkan orang kaya dan pejabat aja lihat aja dan semakin secara detail yang kaya semakin kaya dan itupun akan membawa dampak hancurnya ekonomi indonesia hampir rakyat menolak adanya mbg karena bikin susah dan resah kepada rakyat bubarkan mbg,rakyat itu dah tahu bahwa program makan bergizi gratis itu membawa hal negatip dan negatip dan tidak menguntungkan rakyat malah menjadi beban rakyat itupun yang di untungkan orang kaya dan pejabat saja lihat saja dan semakin secara detail yang kaya semakin kaya dan itupun akan membawa dampak hancurnya ekonomi indonesia hampir rakyat menolak adanya makan bergizi gratis karena bikin susah dan resah kepada rakyat bubarkan makan bergizi gratis,rakyat dah program makan bergizi gratis membawa negatip negatip menguntungkan rakyat beban rakyat itupun untungkan kaya pejabat detail kaya kaya itupun membawa dampak hancurnya ekonomi indonesia rakyat menolak makan bergizi gratis bikin susah resah rakyat bubarkan makan bergizi gratis,Negatif
@AldiyusufPurnama,2026-04-23T13:53:46Z,0,Mbg bisnis para orang orang berduwit.,True,lmcwEO9Lqe8,mbg bisnis para orang orang berduwit,makan bergizi gratis bisnis para orang orang berduwit,makan bergizi gratis bisnis berduwit,Netral
@AsepBasit-jb2jd,2026-04-23T11:16:17Z,0,Mbg. Proyek. Korupsi.   Gila. Gilaan   stop. Lah. Uang. Rakyat. Hasil. Pajak,True,lmcwEO9Lqe8,mbg proyek korupsi gila gilaan stop lah uang rakyat hasil pajak,makan bergizi gratis proyek korupsi gila gilaan stop lah uang rakyat hasil pajak,makan bergizi gratis proyek korupsi gila gilaan stop uang rakyat hasil pajak,Negatif
@Athaya931,2026-04-23T06:55:21Z,0,"Bagi rakyat MBG itu di nilai negatip...
karena MBG suatu yg sangat merugikan rakyat...
Dan yg di untungkan cuma orang kaya dan pejabat...
Ini menjadikan suatu bisnis dan proyek yg di berikan pemerintah tapi cuma orang kaya dan pejabat...
Rakyat kecil cuma jadi penonton dan pendengar...
Tapi dampak dari MBG besar sekali...
1.Menguras anggaran yg sangat besar.
2..merugikan rakyat kecil.
3.Tidak manfaatnya.
4. bahan pokok naik.
5.Pendidikkan di asingkan.
6.Kesehatan juga di kalahkan.
7. Dan masih banyak dampak dari MBG...
Padahal gak pada di makan, masih menguras anggaran.
Itupun yg di untungkan orang kaya dan pejabat..
Pemerintah koclok dan koclok...gak di pikir matang matang...
Ini suatu kegagalan dalam pemerintah saat ini....
Bubarkan MBG...",True,lmcwEO9Lqe8,bagi rakyat mbg itu di nilai negatip karena mbg suatu yg sangat merugikan rakyat dan yg di untungkan cuma orang kaya dan pejabat ini menjadikan suatu bisnis dan proyek yg di berikan pemerintah tapi cuma orang kaya dan pejabat rakyat kecil cuma jadi penonton dan pendengar tapi dampak dari mbg besar sekali menguras anggaran yg sangat besar merugikan rakyat kecil tidak manfaatnya bahan pokok naik pendidikkan di asingkan kesehatan juga di kalahkan dan masih banyak dampak dari mbg padahal gak pada di makan masih menguras anggaran itupun yg di untungkan orang kaya dan pejabat pemerintah koclok dan koclok gak di pikir matang matang ini suatu kegagalan dalam pemerintah saat ini bubarkan mbg,bagi rakyat makan bergizi gratis itu di nilai negatip karena makan bergizi gratis suatu yang sangat merugikan rakyat dan yang di untungkan cuma orang kaya dan pejabat ini menjadikan suatu bisnis dan proyek yang di berikan pemerintah tapi cuma orang kaya dan pejabat rakyat kecil cuma jadi penonton dan pendengar tapi dampak dari makan bergizi gratis besar sekali menguras anggaran yang sangat besar merugikan rakyat kecil tidak manfaatnya bahan pokok naik pendidikkan di asingkan kesehatan juga di kalahkan dan masih banyak dampak dari makan bergizi gratis padahal tidak pada di makan masih menguras anggaran itupun yang di untungkan orang kaya dan pejabat pemerintah koclok dan koclok tidak di pikir matang matang ini suatu kegagalan dalam pemerintah saat ini bubarkan makan bergizi gratis,rakyat makan bergizi gratis nilai negatip makan bergizi gratis merugikan rakyat untungkan kaya pejabat menjadikan bisnis proyek pemerintah kaya pejabat rakyat penonton pendengar dampak makan bergizi gratis menguras anggaran merugikan rakyat manfaatnya bahan pokok pendidikkan asingkan kesehatan kalahkan dampak makan bergizi gratis makan menguras anggaran itupun untungkan kaya pejabat pemerintah koclok koclok pikir matang matang kegagalan pemerintah bubarkan makan bergizi gratis,Negatif
@pa4893,2026-04-23T02:31:42Z,0,"Awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yg niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya MBG, yg awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yg mendirikan MBG, yg awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yg harus mengerem pengeluaran/ efisiensi, harus nya ada tim audit dari negara yg mengecek apakah dana tersalurkan dengan benar atau ada permainan😊 kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan  penjajah muncul dari bangsa sendiri😊",True,lmcwEO9Lqe8,awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yg niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya mbg yg awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yg mendirikan mbg yg awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yg harus mengerem pengeluaran efisiensi harus nya ada tim audit dari negara yg mengecek apakah dana tersalurkan dengan benar atau ada permainan kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan penjajah muncul dari bangsa sendiri,awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yang niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya makan bergizi gratis yang awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yang mendirikan makan bergizi gratis yang awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yang harus mengerem pengeluaran efisiensi harus nya ada tim audit dari negara yang mengecek apakah dana tersalurkan dengan benar atau ada permainan kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan penjajah muncul dari bangsa sendiri,awalnua bagus sihh rencananya jalankan lahh sifat penjajah aslinya muncul pegusaha niatnya memutar ekonomi rakyat belanjaan berkerja pengusaha mengambil lokasi berdirinya makan bergizi gratis membuka lapangan terdekat mendirikan makan bergizi gratis gizi menyebar kendaraan operasional badan pemerintah badan negara mengerem pengeluaran efisiensi tim audit negara mengecek dana tersalurkan permainan permainan harap transparan masyarakat biarkan penjajah muncul bangsa,Positif
@CahyaSaputra-c7t,2026-04-23T02:27:44Z,0,Ngotot mbg karena tak bisa dengar lihat dan mikir jeritan  rakyat,True,lmcwEO9Lqe8,ngotot mbg karena tak bisa dengar lihat dan mikir jeritan rakyat,ngotot makan bergizi gratis karena tak bisa dengar lihat dan mikir jeritan rakyat,ngotot makan bergizi gratis dengar mikir jeritan rakyat,Netral
@randosijabat3325,2026-04-23T00:59:51Z,0,Praktek korupsi yg terselubung,True,lmcwEO9Lqe8,praktek korupsi yg terselubung,praktek korupsi yang terselubung,praktek korupsi terselubung,Negatif
@DaskamsumartoDaskam,2026-04-22T14:03:16Z,0,Aneh program persiden emangtidakada kerjaan?ujug ujug bikin dapur nasional emang rayat yangmana yansedang kelaparan? Inimah kerjaan anak SD anehhh😂,True,lmcwEO9Lqe8,aneh program persiden emangtidakada kerjaan ujug ujug bikin dapur nasional emang rayat yangmana yansedang kelaparan inimah kerjaan anak sd anehhh,aneh program persiden emangtidakada kerjaan ujug ujug bikin dapur nasional memang rayat yangmana yansedang kelaparan inimah kerjaan anak sd anehhh,aneh program persiden emangtidakada kerjaan ujug ujug bikin dapur nasional rayat yangmana yansedang kelaparan inimah kerjaan anak sd anehhh,Netral
@turtelepratama6112,2026-04-22T06:19:12Z,0,Gue mau para pekerja mbg gak ikut pemilu. Kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok gak demokratis lagi,True,lmcwEO9Lqe8,gue mau para pekerja mbg gak ikut pemilu kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok gak demokratis lagi,saya mau para pekerja makan bergizi gratis tidak ikut pemilu kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok tidak demokratis lagi,pekerja makan bergizi gratis pemilu kalo pemilu memilih prabowo kalo kehilangan pekerjaan pemilu besok demokratis,Netral
@AndriKevinKevin,2026-04-22T04:25:49Z,0,Potensi korupsi ya gila,True,lmcwEO9Lqe8,potensi korupsi ya gila,potensi korupsi ya gila,potensi korupsi gila,Negatif
@BaLuGu_99,2026-04-21T15:26:21Z,0,Bapak ibu Dewan² perwakilan Pada kemana ini... Kok gak ada yang bersuara,True,lmcwEO9Lqe8,bapak ibu dewan perwakilan pada kemana ini kok gak ada yang bersuara,bapak ibu dewan perwakilan pada kemana ini kok tidak ada yang bersuara,dewan perwakilan kemana bersuara,Tidak Berlabel
@suparyanto985,2026-04-21T09:44:16Z,0,Terbesar dan terbusuk dan terbodoh dari rezim prabowo....,True,lmcwEO9Lqe8,terbesar dan terbusuk dan terbodoh dari rezim prabowo,terbesar dan terbusuk dan terbodoh dari rezim prabowo,terbesar terbusuk terbodoh rezim prabowo,Tidak Berlabel
@azam2241,2026-04-20T11:57:09Z,0,"Sayang sekali uang ratusan terliun hanya jaditai, ini mau niru cerita nabi sulaiman yg mau memberi semua mahluk, tapi kalau nabi pake duit sendiri dan pada akhirnya dia juga angkat tangan",True,lmcwEO9Lqe8,sayang sekali uang ratusan terliun hanya jaditai ini mau niru cerita nabi sulaiman yg mau memberi semua mahluk tapi kalau nabi pake duit sendiri dan pada akhirnya dia juga angkat tangan,sayang sekali uang ratusan terliun hanya jaditai ini mau niru cerita nabi sulaiman yang mau memberi semua mahluk tapi kalau nabi pake duit sendiri dan pada akhirnya dia juga angkat tangan,sayang uang ratusan terliun jaditai niru cerita nabi sulaiman mahluk nabi pake duit angkat tangan,Tidak Berlabel
@boimbaelah,2026-04-20T03:15:37Z,0,"Kampanye ""food waste"" sekarang malah terkendala dengan adanya makanan sisa embege. Berapa ompreng yg tersisa gara2 penerima manfaat tidak mau menghabiskannya 🙄",True,lmcwEO9Lqe8,kampanye food waste sekarang malah terkendala dengan adanya makanan sisa embege berapa ompreng yg tersisa gara penerima manfaat tidak mau menghabiskannya,kampanye food waste sekarang malah terkendala dengan adanya makanan sisa embege berapa ompreng yang tersisa gara penerima manfaat tidak mau menghabiskannya,kampanye food waste terkendala makanan sisa embege ompreng tersisa gara penerima manfaat menghabiskannya,Kritik
@CobaLagiplay,2026-04-19T21:25:57Z,1,Napa di sekolah ku belum ada😢,True,lmcwEO9Lqe8,napa di sekolah ku belum ada,napa di sekolah ku belum ada,napa sekolah ku,Netral
@tangtaryana87,2026-04-19T07:04:45Z,0,"Jdi beban negara ,bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg 15rb ,qrtinya beban anggaran akan naik dan jadi beban berat ,itu kenapa banyak paorsi yg tidak standar gizi ,ujung ujung nya stanting takan teratasi.",True,lmcwEO9Lqe8,jdi beban negara bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg rb qrtinya beban anggaran akan naik dan jadi beban berat itu kenapa banyak paorsi yg tidak standar gizi ujung ujung nya stanting takan teratasi,jdi beban negara bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg rb qrtinya beban anggaran akan naik dan jadi beban berat itu kenapa banyak paorsi yang tidak standar gizi ujung ujung nya stanting takan teratasi,jdi beban negara bahan baku tahun harga dg rb qrtinya beban anggaran beban berat paorsi standar gizi ujung ujung stanting takan teratasi,Netral
