author,published_at,like_count,text,public,video_id,text_clean,text_normalized,text_final,label,label_id,label_indobert,confidence
@Athaya931,2026-04-23T06:55:21Z,0,"Bagi rakyat MBG itu di nilai negatip...
karena MBG suatu yg sangat merugikan rakyat...
Dan yg di untungkan cuma orang kaya dan pejabat...
Ini menjadikan suatu bisnis dan proyek yg di berikan pemerintah tapi cuma orang kaya dan pejabat...
Rakyat kecil cuma jadi penonton dan pendengar...
Tapi dampak dari MBG besar sekali...
1.Menguras anggaran yg sangat besar.
2..merugikan rakyat kecil.
3.Tidak manfaatnya.
4. bahan pokok naik.
5.Pendidikkan di asingkan.
6.Kesehatan juga di kalahkan.
7. Dan masih banyak dampak dari MBG...
Padahal gak pada di makan, masih menguras anggaran.
Itupun yg di untungkan orang kaya dan pejabat..
Pemerintah koclok dan koclok...gak di pikir matang matang...
Ini suatu kegagalan dalam pemerintah saat ini....
Bubarkan MBG...",True,lmcwEO9Lqe8,bagi rakyat mbg itu di nilai negatip karena mbg suatu yg sangat merugikan rakyat dan yg di untungkan cuma orang kaya dan pejabat ini menjadikan suatu bisnis dan proyek yg di berikan pemerintah tapi cuma orang kaya dan pejabat rakyat kecil cuma jadi penonton dan pendengar tapi dampak dari mbg besar sekali menguras anggaran yg sangat besar merugikan rakyat kecil tidak manfaatnya bahan pokok naik pendidikkan di asingkan kesehatan juga di kalahkan dan masih banyak dampak dari mbg padahal gak pada di makan masih menguras anggaran itupun yg di untungkan orang kaya dan pejabat pemerintah koclok dan koclok gak di pikir matang matang ini suatu kegagalan dalam pemerintah saat ini bubarkan mbg,bagi rakyat makan bergizi gratis itu di nilai negatip karena makan bergizi gratis suatu yang sangat merugikan rakyat dan yang di untungkan cuma orang kaya dan pejabat ini menjadikan suatu bisnis dan proyek yang di berikan pemerintah tapi cuma orang kaya dan pejabat rakyat kecil cuma jadi penonton dan pendengar tapi dampak dari makan bergizi gratis besar sekali menguras anggaran yang sangat besar merugikan rakyat kecil tidak manfaatnya bahan pokok naik pendidikkan di asingkan kesehatan juga di kalahkan dan masih banyak dampak dari makan bergizi gratis padahal tidak pada di makan masih menguras anggaran itupun yang di untungkan orang kaya dan pejabat pemerintah koclok dan koclok tidak di pikir matang matang ini suatu kegagalan dalam pemerintah saat ini bubarkan makan bergizi gratis,rakyat makan bergizi gratis nilai negatip makan bergizi gratis merugikan rakyat untungkan kaya pejabat menjadikan bisnis proyek pemerintah kaya pejabat rakyat penonton pendengar dampak makan bergizi gratis menguras anggaran merugikan rakyat manfaatnya bahan pokok pendidikkan asingkan kesehatan kalahkan dampak makan bergizi gratis makan menguras anggaran itupun untungkan kaya pejabat pemerintah koclok koclok pikir matang matang kegagalan pemerintah bubarkan makan bergizi gratis,Negatif,1,Negatif,0.7970696687698364
@pa4893,2026-04-23T02:31:42Z,0,"Awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yg niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya MBG, yg awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yg mendirikan MBG, yg awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yg harus mengerem pengeluaran/ efisiensi, harus nya ada tim audit dari negara yg mengecek apakah dana tersalurkan dengan benar atau ada permainan😊 kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan  penjajah muncul dari bangsa sendiri😊",True,lmcwEO9Lqe8,awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yg niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya mbg yg awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yg mendirikan mbg yg awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yg harus mengerem pengeluaran efisiensi harus nya ada tim audit dari negara yg mengecek apakah dana tersalurkan dengan benar atau ada permainan kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan penjajah muncul dari bangsa sendiri,awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yang niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya makan bergizi gratis yang awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yang mendirikan makan bergizi gratis yang awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yang harus mengerem pengeluaran efisiensi harus nya ada tim audit dari negara yang mengecek apakah dana tersalurkan dengan benar atau ada permainan kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan penjajah muncul dari bangsa sendiri,awalnua bagus sihh rencananya jalankan lahh sifat penjajah aslinya muncul pegusaha niatnya memutar ekonomi rakyat belanjaan berkerja pengusaha mengambil lokasi berdirinya makan bergizi gratis membuka lapangan terdekat mendirikan makan bergizi gratis gizi menyebar kendaraan operasional badan pemerintah badan negara mengerem pengeluaran efisiensi tim audit negara mengecek dana tersalurkan permainan permainan harap transparan masyarakat biarkan penjajah muncul bangsa,Positif,4,Positif,0.977313220500946
@CahyaSaputra-c7t,2026-04-23T02:27:44Z,0,Ngotot mbg karena tak bisa dengar lihat dan mikir jeritan  rakyat,True,lmcwEO9Lqe8,ngotot mbg karena tak bisa dengar lihat dan mikir jeritan rakyat,ngotot makan bergizi gratis karena tak bisa dengar lihat dan mikir jeritan rakyat,ngotot makan bergizi gratis dengar mikir jeritan rakyat,Netral,2,Netral,0.9742374420166016
@randosijabat3325,2026-04-23T00:59:51Z,0,Praktek korupsi yg terselubung,True,lmcwEO9Lqe8,praktek korupsi yg terselubung,praktek korupsi yang terselubung,praktek korupsi terselubung,Negatif,1,Negatif,0.9674110412597656
@DaskamsumartoDaskam,2026-04-22T14:03:16Z,0,Aneh program persiden emangtidakada kerjaan?ujug ujug bikin dapur nasional emang rayat yangmana yansedang kelaparan? Inimah kerjaan anak SD anehhh😂,True,lmcwEO9Lqe8,aneh program persiden emangtidakada kerjaan ujug ujug bikin dapur nasional emang rayat yangmana yansedang kelaparan inimah kerjaan anak sd anehhh,aneh program persiden emangtidakada kerjaan ujug ujug bikin dapur nasional memang rayat yangmana yansedang kelaparan inimah kerjaan anak sd anehhh,aneh program persiden emangtidakada kerjaan ujug ujug bikin dapur nasional rayat yangmana yansedang kelaparan inimah kerjaan anak sd anehhh,Netral,2,Netral,0.9434603452682495
@turtelepratama6112,2026-04-22T06:19:12Z,0,Gue mau para pekerja mbg gak ikut pemilu. Kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok gak demokratis lagi,True,lmcwEO9Lqe8,gue mau para pekerja mbg gak ikut pemilu kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok gak demokratis lagi,saya mau para pekerja makan bergizi gratis tidak ikut pemilu kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok tidak demokratis lagi,pekerja makan bergizi gratis pemilu kalo pemilu memilih prabowo kalo kehilangan pekerjaan pemilu besok demokratis,Netral,2,Netral,0.9460194706916809
@AndriKevinKevin,2026-04-22T04:25:49Z,0,Potensi korupsi ya gila,True,lmcwEO9Lqe8,potensi korupsi ya gila,potensi korupsi ya gila,potensi korupsi gila,Negatif,1,Negatif,0.970027506351471
@boimbaelah,2026-04-20T03:15:37Z,0,"Kampanye ""food waste"" sekarang malah terkendala dengan adanya makanan sisa embege. Berapa ompreng yg tersisa gara2 penerima manfaat tidak mau menghabiskannya 🙄",True,lmcwEO9Lqe8,kampanye food waste sekarang malah terkendala dengan adanya makanan sisa embege berapa ompreng yg tersisa gara penerima manfaat tidak mau menghabiskannya,kampanye food waste sekarang malah terkendala dengan adanya makanan sisa embege berapa ompreng yang tersisa gara penerima manfaat tidak mau menghabiskannya,kampanye food waste terkendala makanan sisa embege ompreng tersisa gara penerima manfaat menghabiskannya,Kritik,0,Netral,0.4935985803604126
@CobaLagiplay,2026-04-19T21:25:57Z,1,Napa di sekolah ku belum ada😢,True,lmcwEO9Lqe8,napa di sekolah ku belum ada,napa di sekolah ku belum ada,napa sekolah ku,Netral,2,Netral,0.9018682837486267
@tangtaryana87,2026-04-19T07:04:45Z,0,"Jdi beban negara ,bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg 15rb ,qrtinya beban anggaran akan naik dan jadi beban berat ,itu kenapa banyak paorsi yg tidak standar gizi ,ujung ujung nya stanting takan teratasi.",True,lmcwEO9Lqe8,jdi beban negara bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg rb qrtinya beban anggaran akan naik dan jadi beban berat itu kenapa banyak paorsi yg tidak standar gizi ujung ujung nya stanting takan teratasi,jdi beban negara bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg rb qrtinya beban anggaran akan naik dan jadi beban berat itu kenapa banyak paorsi yang tidak standar gizi ujung ujung nya stanting takan teratasi,jdi beban negara bahan baku tahun harga dg rb qrtinya beban anggaran beban berat paorsi standar gizi ujung ujung stanting takan teratasi,Netral,2,Netral,0.8807996511459351
@PadisPadis-l7l,2026-04-19T04:51:07Z,0,BOHONG PAK PRABOWO KARENA SETIAP KECAMATAN HAMPIR ADA 25 TITIK DAPUR YANG ACC OLEH KEPALMPG PUSAT KARENA DI KASIH UANG SEDANGKAN SASARAN SISWA SANGAT TERBATAS AHIRNYA DALING JARAH MENJARAH UANG LEMAH GAK MAU RIBUT MENYERAH APA ADANYA AHIRNYA KWALITASNYA RENDAH KARENA SEMUA DI ACC YANG PENTING ADA SETORAN KE PUSAT,True,lmcwEO9Lqe8,bohong pak prabowo karena setiap kecamatan hampir ada titik dapur yang acc oleh kepalmpg pusat karena di kasih uang sedangkan sasaran siswa sangat terbatas ahirnya daling jarah menjarah uang lemah gak mau ribut menyerah apa adanya ahirnya kwalitasnya rendah karena semua di acc yang penting ada setoran ke pusat,tidak jujur pak prabowo karena setiap kecamatan hampir ada titik dapur yang acc oleh kepalmpg pusat karena di kasih uang sedangkan sasaran siswa sangat terbatas ahirnya daling jarah menjarah uang lemah tidak mau ribut menyerah apa adanya ahirnya kwalitasnya rendah karena semua di acc yang penting ada setoran ke pusat,jujur prabowo kecamatan titik dapur acc kepalmpg pusat kasih uang sasaran siswa terbatas ahirnya daling jarah menjarah uang lemah ribut menyerah ahirnya kwalitasnya rendah acc setoran pusat,Kritik,0,Kritik,0.4113309681415558
@suharlisawir2848,2026-04-19T03:25:22Z,0,"Program bagi2 jatah korupsi.....lihat aj pengadaan motor listrik yg 1,2t, bhkan mntri keuangan aj gk tau ujug2 barangnya nongol dg anggaran 1,2t, trus pengdaan kaos kaki dll, hnya bagi2 duit",True,lmcwEO9Lqe8,program bagi jatah korupsi lihat aj pengadaan motor listrik yg t bhkan mntri keuangan aj gk tau ujug barangnya nongol dg anggaran t trus pengdaan kaos kaki dll hnya bagi duit,program bagi jatah korupsi lihat saja pengadaan motor listrik yang t bhkan mntri keuangan saja tidak tau ujug barangnya nongol dg anggaran t trus pengdaan kaos kaki dll hnya bagi duit,program jatah korupsi pengadaan motor listrik bhkan mntri keuangan tau ujug barangnya nongol dg anggaran trus pengdaan kaos kaki dll hnya duit,Negatif,1,Negatif,0.9685782194137573
@prayogi5396,2026-04-18T23:25:49Z,0,SeBERGIZI apa MBG?,True,lmcwEO9Lqe8,sebergizi apa mbg,sebergizi apa makan bergizi gratis,sebergizi makan bergizi gratis,Netral,2,Netral,0.9743044376373291
@CahyaSaputra-c7t,2026-04-18T03:20:27Z,0,Percuma mengkritik menghujat orang tak bermoral,True,lmcwEO9Lqe8,percuma mengkritik menghujat orang tak bermoral,percuma mengkritik menghujat orang tak bermoral,mengkritik menghujat bermoral,Kritik,0,Kritik,0.4680519104003906
@Arif.Prasetyo-it8qv,2026-04-17T07:19:05Z,0,"MBG proyek tahan malu,  terlanjur janji omon2 sambil ngibulin 58% yg malas berpikir cerdas.",True,lmcwEO9Lqe8,mbg proyek tahan malu terlanjur janji omon sambil ngibulin yg malas berpikir cerdas,makan bergizi gratis proyek tahan malu terlanjur janji omon sambil ngibulin yang malas berpikir cerdas,makan bergizi gratis proyek tahan malu terlanjur janji omon ngibulin malas berpikir cerdas,Netral,2,Netral,0.9735008478164673
